Full Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sum_file_path,run_id,input_file_gen_date,scenario,parent_substance,crop_calendar,application_scheme,substance_evaluated,pec_gw,App_ID,Crop,Application Rate,Number of Applications,Interval,Application BBCH,Use BBCH for First or Last,AppDate Crop,Application Type,Injection/Incorporation Depth,Application Frequency
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M11,0.218844,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M52,0.001327,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M54,0.115003,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M55,2.819385,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/9/9.sum,9,05/10/2025,Thiva,PXD,Thiv-Wcereals,App_ID_1,M56,1.468581,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M2,0.0409,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M3,0.859553,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M11,0.115286,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M52,0.00392,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M54,0.053795,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M55,1.398195,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/1/1.sum,1,05/10/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_2,M56,0.749234,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M2,0.122154,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M3,0.841789,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M11,0.144186,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M52,0.01367,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M54,0.059874,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M55,0.711777,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_2,M56,0.427297,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
../2_wintercereals_1x25gha_BBCH11_B/3/3.sum,3,05/10/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_2,PXD,0,2,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Biennial
